SITE_ID,LATDD,LONDD,SITE_ELEV,DATE_SMP,year,month,day,PROGRAM_ID,PARAMETER,VALUE,METHOD,METHOD_DESCRIPTION,SAMPLE_TYPE,SAMPLE_LOCATION,WATERBODY_TYPE
VT63,37.79,-79.1029,432.49,2020-10-28 00:00:00,2020,10,28,VTSSS,CA,66.0,EPA 1987,Atomic Absorption Spectroscopy. USEPA. 1987. Handbook of methods for acid deposition studies. Laboratory analyses for surface water chemistry . EPA-600/4-87-026. ,Regular,Stream,Stream
ME-4575,44.8119,-68.4297,122.91,2020-10-23 00:00:00,2020,10,23,LTM_ME,WTEMP,12.0,Unknown,Unknown,Regular,EPI,Lake
1A1-102,44.1805,-73.96726,659.88,2020-09-16 00:00:00,2020,9,16,LTM_ALTM,CHL_A,2.0,"EPA 445.0, 10200H","Flourometery. Methods for Chemical Analysis of Water and Wastes, EPA 600/4-79-020, 1979, Revised 1983. Standard Methods for the Examination of Water and Wastewater, 18th-21st Editions, American Public Health Association, American Water Works Association, and Water Pollution Control Federation, 1992-2005. ",Regular,EPI,Lake
VT56,38.4296,-79.1399,596.77,2020-10-29 00:00:00,2020,10,29,VTSSS,MG,35.0,EPA 1987,Atomic Absorption Spectroscopy. USEPA. 1987. Handbook of methods for acid deposition studies. Laboratory analyses for surface water chemistry . EPA-600/4-87-026. ,Regular,Stream,Stream
1A3-065,43.50877,-74.88168,617.46,2020-09-22 00:00:00,2020,9,22,LTM_ALTM,NO3,2.0,"EPA 300.0, 4110 B","Ion Chromatography. Methods for the Determination of Inorganic Substances in Environmental Samples, EPA 600/R-93-100, 1993. Standard Methods for the Examination of Water and Wastewater, 18th-21st Editions, American Public Health Association, American Water Works Association, and Water Pollution Control Federation, 1992-2005.",Regular,EPI,Lake
MAD2,38.2515,-78.7471,448.43,2020-10-27 00:00:00,2020,10,27,VTSSS,SIO2,8.0,"APHA 425C, APHA 1985","APHA 425C, APHA 1985",Regular,Stream,Stream
1A3-001,43.8589,-74.09377,612.47,2020-07-06 00:00:00,2020,7,6,LTM_ALTM,CL,7.0,"EPA 300.0, 4110 B","Ion Chromatography. Methods for the Determination of Inorganic Substances in Environmental Samples, EPA 600/R-93-100, 1993. Standard Methods for the Examination of Water and Wastewater, 18th-21st Editions, American Public Health Association, American Water Works Association, and Water Pollution Control Federation, 1992-2005.",Annual,EPI,Lake
040852,43.62286,-74.76075,652.35,2020-09-28 00:00:00,2020,9,28,LTM_ALTM,K,4.0,"EPA 258.1, 3111 B","AAS Direct Aspiration. Methods for Chemical Analysis of Water and Wastes, EPA 600/4-79-020, 1979, Revised 1983. Standard Methods for the Examination of Water and Wastewater, 18th-21st Editions, American Public Health Association, American Water Works Association, and Water Pollution Control Federation, 1992-2005. ",Regular,EPI,Lake
01364959,41.9369,-74.375,516.35,2020-09-02 00:00:00,2020,9,2,LTM_CAT,SIO2,46.0,EPA 1979,"Colorimetric, silico-molybdate, spectrophotometer. Methods for Chemical Analysis of Water and Wastes, EPA 600/4-79-020, 1979.",Regular,Stream,Stream
04253639,43.81358,-74.88347,575.81,2020-09-01 00:00:00,2020,9,1,LTM_ALTM,CL,6.0,"EPA 300.0, 4110 B","Ion Chromatography. Methods for the Determination of Inorganic Substances in Environmental Samples, EPA 600/R-93-100, 1993. Standard Methods for the Examination of Water and Wastewater, 18th-21st Editions, American Public Health Association, American Water Works Association, and Water Pollution Control Federation, 1992-2005.",Regular,EPI,Stream
